2026-05-21 20:29:04 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (57.76, -88.3)
2026-05-21 20:29:04 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (57.76, -88.3)
2026-05-21 20:29:04 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14957 не обнаружено
2026-05-21 20:29:04 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14958 (координаты -68.27, -46.63)
2026-05-21 20:29:04 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-68.27%2C-46.63&radius=25000&limit=15
2026-05-21 20:29:04 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-68.27, -46.63)
2026-05-21 20:29:04 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-68.27, -46.63)
2026-05-21 20:29:04 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14958 не обнаружено
2026-05-21 20:29:04 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14959 (координаты 87.81, 88.42)
2026-05-21 20:29:04 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=87.81%2C88.42&radius=25000&limit=15
2026-05-21 20:29:04 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (87.81, 88.42)
2026-05-21 20:29:04 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (87.81, 88.42)
2026-05-21 20:29:04 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14959 не обнаружено
2026-05-21 20:29:04 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14960 (координаты -26.94, -13.39)
2026-05-21 20:29:04 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-26.94%2C-13.39&radius=25000&limit=15
2026-05-21 20:29:04 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-26.94, -13.39)
2026-05-21 20:29:04 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-26.94, -13.39)
2026-05-21 20:29:04 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14960 не обнаружено
2026-05-21 20:29:04 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14961 (координаты 11.68, -117.75)
2026-05-21 20:29:04 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=11.68%2C-117.75&radius=25000&limit=15
2026-05-21 20:29:05 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (11.68, -117.75)
2026-05-21 20:29:05 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (11.68, -117.75)
2026-05-21 20:29:05 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14961 не обнаружено
2026-05-21 20:29:05 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14962 (координаты 4.12, -31.55)
2026-05-21 20:29:05 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=4.12%2C-31.55&radius=25000&limit=15
2026-05-21 20:29:05 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (4.12, -31.55)
2026-05-21 20:29:05 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (4.12, -31.55)
2026-05-21 20:29:05 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14962 не обнаружено
2026-05-21 20:29:05 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14963 (координаты -10.31, 169.07)
2026-05-21 20:29:05 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-10.31%2C169.07&radius=25000&limit=15
2026-05-21 20:29:06 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-10.31, 169.07)
2026-05-21 20:29:06 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-10.31, 169.07)
2026-05-21 20:29:06 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14963 не обнаружено
2026-05-21 20:29:06 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14964 (координаты -0.73, 71.7)
2026-05-21 20:29:06 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-0.73%2C71.7&radius=25000&limit=15
2026-05-21 20:29:06 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-0.73, 71.7)
2026-05-21 20:29:06 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-0.73, 71.7)
2026-05-21 20:29:06 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14964 не обнаружено
2026-05-21 20:29:06 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14965 (координаты 33.34, -174.98)
2026-05-21 20:29:06 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=33.34%2C-174.98&radius=25000&limit=15
2026-05-21 20:29:06 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (33.34, -174.98)
2026-05-21 20:29:06 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (33.34, -174.98)
2026-05-21 20:29:06 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14965 не обнаружено
2026-05-21 20:29:07 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14966 (координаты 60.24, 102.81)
2026-05-21 20:29:07 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=60.24%2C102.81&radius=25000&limit=15
2026-05-21 20:29:07 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (60.24, 102.81)
2026-05-21 20:29:07 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (60.24, 102.81)
2026-05-21 20:29:07 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14966 не обнаружено
2026-05-21 20:29:07 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14967 (координаты -58.0, 82.51)
2026-05-21 20:29:07 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-58.0%2C82.51&radius=25000&limit=15
2026-05-21 20:29:07 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-58.0, 82.51)
2026-05-21 20:29:07 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-58.0, 82.51)
2026-05-21 20:29:07 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14967 не обнаружено
2026-05-21 20:29:07 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14968 (координаты -24.06, 91.68)
2026-05-21 20:29:07 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-24.06%2C91.68&radius=25000&limit=15
2026-05-21 20:29:08 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-24.06, 91.68)
2026-05-21 20:29:08 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-24.06, 91.68)
2026-05-21 20:29:08 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14968 не обнаружено
2026-05-21 20:29:08 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14969 (координаты -49.47, -91.46)
2026-05-21 20:29:08 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-49.47%2C-91.46&radius=25000&limit=15
2026-05-21 20:29:08 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-49.47, -91.46)
2026-05-21 20:29:08 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-49.47, -91.46)
2026-05-21 20:29:08 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14969 не обнаружено
2026-05-21 20:29:08 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14970 (координаты -9.54, -97.14)
2026-05-21 20:29:08 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-9.54%2C-97.14&radius=25000&limit=15
2026-05-21 20:29:08 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-9.54, -97.14)
